problem opt_cost calc_cost
dantzig42.tsp 699 772
dantzig42.tsp 699 1841
swiss42.tsp 1273 1356
swiss42.tsp 1273 2934
swiss42.tsp 1273 1433
swiss42.tsp 1273 1599
swiss42.tsp 1273 1366
swiss42.tsp 1273 1355
swiss42.tsp 1273 1403
swiss42.tsp 1273 1426
swiss42.tsp 1273 1336
swiss42.tsp 1273 1366
swiss42.tsp 1273 2824
swiss42.tsp 1273 1341
swiss42.tsp 1273 1383
swiss42.tsp 1273 1383
swiss42.tsp 1273 1391
swiss42.tsp 1273 2855
swiss42.tsp 1273 1364
swiss42.tsp 1273 1375
swiss42.tsp 1273 2883
swiss42.tsp 1273 3189
swiss42.tsp 1273 1348
swiss42.tsp 1273 2778
swiss42.tsp 1273 1529
swiss42.tsp 1273 1346
swiss42.tsp 1273 1387
swiss42.tsp 1273 1483
swiss42.tsp 1273 1286
swiss42.tsp 1273 1392
swiss42.tsp 1273 1315
swiss42.tsp 1273 1352
swiss42.tsp 1273 2654
swiss42.tsp 1273 1339
swiss42.tsp 1273 1381
swiss42.tsp 1273 1358
swiss42.tsp 1273 1364
swiss42.tsp 1273 1321
swiss42.tsp 1273 1375
swiss42.tsp 1273 1284
swiss42.tsp 1273 1541
swiss42.tsp 1273 3334
swiss42.tsp 1273 2902
swiss42.tsp 1273 3137
swiss42.tsp 1273 1502
swiss42.tsp 1273 3210
swiss42.tsp 1273 1437
swiss42.tsp 1273 1325
swiss42.tsp 1273 2861
swiss42.tsp 1273 1399
swiss42.tsp 1273 1421
swiss42.tsp 1273 1442
p43.atsp 5620 5854
p43.atsp 5620 5825
p43.atsp 5620 5965
p43.atsp 5620 6011
p43.atsp 5620 5814
p43.atsp 5620 5886
p43.atsp 5620 11507
p43.atsp 5620 5938
p43.atsp 5620 6033
p43.atsp 5620 5649
p43.atsp 5620 5910
p43.atsp 5620 5911
p43.atsp 5620 5952
p43.atsp 5620 5659
p43.atsp 5620 5838
p43.atsp 5620 5650
p43.atsp 5620 6065
p43.atsp 5620 5818
p43.atsp 5620 5650
p43.atsp 5620 5877
p43.atsp 5620 6072
p43.atsp 5620 5931
p43.atsp 5620 5700
p43.atsp 5620 5688
p43.atsp 5620 5713
p43.atsp 5620 6011
p43.atsp 5620 11419
p43.atsp 5620 5655
p43.atsp 5620 5630
p43.atsp 5620 5889
p43.atsp 5620 5646
p43.atsp 5620 5821
p43.atsp 5620 6180
p43.atsp 5620 5947
p43.atsp 5620 5755
p43.atsp 5620 6152
p43.atsp 5620 6083
p43.atsp 5620 5899
p43.atsp 5620 6064
p43.atsp 5620 5782
p43.atsp 5620 6037
p43.atsp 5620 6037
p43.atsp 5620 6065
p43.atsp 5620 5627
p43.atsp 5620 6057
p43.atsp 5620 6035
p43.atsp 5620 5656
p43.atsp 5620 5879
p43.atsp 5620 5623
p43.atsp 5620 5699
ftv44.atsp 1613 3347
ftv44.atsp 1613 3276
ftv44.atsp 1613 3158
ftv44.atsp 1613 3268
ftv44.atsp 1613 2925
ftv44.atsp 1613 4490
ftv44.atsp 1613 2637
ftv44.atsp 1613 2910
ftv44.atsp 1613 3947
ftv44.atsp 1613 3236
ftv44.atsp 1613 4387
ftv44.atsp 1613 3587
ftv44.atsp 1613 4402
ftv44.atsp 1613 2736
ftv44.atsp 1613 3933
ftv44.atsp 1613 3980
ftv44.atsp 1613 3532
ftv44.atsp 1613 3847
ftv44.atsp 1613 2562
ftv44.atsp 1613 2847
ftv44.atsp 1613 3523
ftv44.atsp 1613 2791
ftv44.atsp 1613 2823
ftv44.atsp 1613 2588
ftv44.atsp 1613 3128
ftv44.atsp 1613 2910
ftv44.atsp 1613 3048
ftv44.atsp 1613 4023
ftv44.atsp 1613 2867
ftv44.atsp 1613 3807
ftv44.atsp 1613 2972
ftv44.atsp 1613 3975
ftv44.atsp 1613 3016
ftv44.atsp 1613 2753
ftv44.atsp 1613 2610
ftv44.atsp 1613 3270
ftv44.atsp 1613 3965
ftv44.atsp 1613 2593
ftv44.atsp 1613 2932
ftv44.atsp 1613 2740
ftv44.atsp 1613 3167
ftv44.atsp 1613 3472
ftv44.atsp 1613 3129
ftv44.atsp 1613 2456
ftv44.atsp 1613 3040
ftv44.atsp 1613 3030
ftv44.atsp 1613 3746
ftv44.atsp 1613 2592
ftv44.atsp 1613 2779
ftv44.atsp 1613 2738
ftv47.atsp 1776 4223
ftv47.atsp 1776 4432
ftv47.atsp 1776 2829
ftv47.atsp 1776 3089
ftv47.atsp 1776 3426
ftv47.atsp 1776 3377
ftv47.atsp 1776 3047
ftv47.atsp 1776 4658
ftv47.atsp 1776 4385
ftv47.atsp 1776 4303
ftv47.atsp 1776 4573
ftv47.atsp 1776 3742
ftv47.atsp 1776 3029
ftv47.atsp 1776 3051
ftv47.atsp 1776 3283
ftv47.atsp 1776 3084
ftv47.atsp 1776 4093
ftv47.atsp 1776 3482
ftv47.atsp 1776 3463
ftv47.atsp 1776 3324
ftv47.atsp 1776 3164
ftv47.atsp 1776 3459
ftv47.atsp 1776 3158
ftv47.atsp 1776 3079
ftv47.atsp 1776 3253
ftv47.atsp 1776 3690
ftv47.atsp 1776 3264
ftv47.atsp 1776 4484
ftv47.atsp 1776 2967
ftv47.atsp 1776 3356
ftv47.atsp 1776 3453
ftv47.atsp 1776 2840
