problem opt_cost calc_cost
ftv35.atsp 1473 2347
ftv35.atsp 1473 2883
ftv35.atsp 1473 3264
ftv35.atsp 1473 2359
ftv35.atsp 1473 2451
ftv35.atsp 1473 2578
ftv35.atsp 1473 2210
ftv35.atsp 1473 3152
ftv35.atsp 1473 2888
ftv35.atsp 1473 2511
ftv35.atsp 1473 2895
ftv35.atsp 1473 3103
ftv35.atsp 1473 2417
ftv35.atsp 1473 2050
ftv35.atsp 1473 2890
ftv35.atsp 1473 2053
ftv35.atsp 1473 3079
ftv35.atsp 1473 2624
ftv35.atsp 1473 3129
ftv35.atsp 1473 2253
ftv35.atsp 1473 3274
ftv35.atsp 1473 2271
ftv35.atsp 1473 2869
ftv35.atsp 1473 2538
ftv35.atsp 1473 3107
ftv35.atsp 1473 2215
ftv35.atsp 1473 3050
ftv35.atsp 1473 2611
ftv38.atsp 1530 2257
ftv38.atsp 1530 2638
ftv38.atsp 1530 2546
ftv38.atsp 1530 3030
ftv38.atsp 1530 2148
ftv38.atsp 1530 2462
ftv38.atsp 1530 2275
ftv38.atsp 1530 2371
ftv38.atsp 1530 2797
ftv38.atsp 1530 3528
ftv38.atsp 1530 2480
ftv38.atsp 1530 2445
ftv38.atsp 1530 2584
ftv38.atsp 1530 2755
ftv38.atsp 1530 2541
ftv38.atsp 1530 3567
ftv38.atsp 1530 2171
ftv38.atsp 1530 2579
ftv38.atsp 1530 2580
ftv38.atsp 1530 3106
ftv38.atsp 1530 3569
ftv38.atsp 1530 2419
ftv38.atsp 1530 2365
ftv38.atsp 1530 2329
ftv38.atsp 1530 2455
ftv38.atsp 1530 2349
ftv38.atsp 1530 3180
ftv38.atsp 1530 2854
ftv38.atsp 1530 2231
ftv38.atsp 1530 2462
ftv38.atsp 1530 2018
ftv38.atsp 1530 2760
ftv38.atsp 1530 3419
ftv38.atsp 1530 2420
ftv38.atsp 1530 2867
ftv38.atsp 1530 3550
ftv38.atsp 1530 2183
ftv38.atsp 1530 2178
ftv38.atsp 1530 3049
ftv38.atsp 1530 2599
ftv38.atsp 1530 2499
ftv38.atsp 1530 2516
ftv38.atsp 1530 3288
ftv38.atsp 1530 2319
ftv38.atsp 1530 2538
ftv38.atsp 1530 2516
ftv38.atsp 1530 2666
ftv38.atsp 1530 2553
ftv38.atsp 1530 2219
ftv38.atsp 1530 2452
dantzig42.tsp 699 2045
dantzig42.tsp 699 744
dantzig42.tsp 699 821
dantzig42.tsp 699 1353
dantzig42.tsp 699 729
dantzig42.tsp 699 2009
dantzig42.tsp 699 1946
dantzig42.tsp 699 777
dantzig42.tsp 699 1961
dantzig42.tsp 699 736
dantzig42.tsp 699 840
dantzig42.tsp 699 757
dantzig42.tsp 699 1974
dantzig42.tsp 699 1572
dantzig42.tsp 699 808
dantzig42.tsp 699 769
dantzig42.tsp 699 768
dantzig42.tsp 699 817
dantzig42.tsp 699 761
dantzig42.tsp 699 2185
dantzig42.tsp 699 717
dantzig42.tsp 699 779
dantzig42.tsp 699 736
dantzig42.tsp 699 2143
dantzig42.tsp 699 1904
dantzig42.tsp 699 1720
dantzig42.tsp 699 745
dantzig42.tsp 699 1354
dantzig42.tsp 699 761
dantzig42.tsp 699 776
dantzig42.tsp 699 726
dantzig42.tsp 699 721
dantzig42.tsp 699 1687
dantzig42.tsp 699 800
dantzig42.tsp 699 742
dantzig42.tsp 699 1915
dantzig42.tsp 699 715
dantzig42.tsp 699 790
dantzig42.tsp 699 751
dantzig42.tsp 699 1812
dantzig42.tsp 699 815
dantzig42.tsp 699 1756
dantzig42.tsp 699 1806
dantzig42.tsp 699 742
dantzig42.tsp 699 824
dantzig42.tsp 699 2291
dantzig42.tsp 699 774
dantzig42.tsp 699 722
dantzig42.tsp 699 1742
dantzig42.tsp 699 753
swiss42.tsp 1273 2932
swiss42.tsp 1273 1422
swiss42.tsp 1273 1429
swiss42.tsp 1273 1850
swiss42.tsp 1273 1391
swiss42.tsp 1273 1462
swiss42.tsp 1273 2792
swiss42.tsp 1273 3130
swiss42.tsp 1273 1389
swiss42.tsp 1273 1775
swiss42.tsp 1273 1439
swiss42.tsp 1273 1362
swiss42.tsp 1273 1503
swiss42.tsp 1273 1613
swiss42.tsp 1273 1355
swiss42.tsp 1273 1289
swiss42.tsp 1273 1338
swiss42.tsp 1273 2918
swiss42.tsp 1273 1363
swiss42.tsp 1273 1364
swiss42.tsp 1273 1827
swiss42.tsp 1273 1391
swiss42.tsp 1273 1499
swiss42.tsp 1273 1476
swiss42.tsp 1273 1328
swiss42.tsp 1273 1369
swiss42.tsp 1273 3080
swiss42.tsp 1273 3103
swiss42.tsp 1273 3147
swiss42.tsp 1273 2870
swiss42.tsp 1273 1385
swiss42.tsp 1273 2852
swiss42.tsp 1273 1350
swiss42.tsp 1273 1372
swiss42.tsp 1273 1378
swiss42.tsp 1273 1345
swiss42.tsp 1273 1396
swiss42.tsp 1273 1338
swiss42.tsp 1273 1362
swiss42.tsp 1273 3119
swiss42.tsp 1273 1365
swiss42.tsp 1273 1384
swiss42.tsp 1273 1464
swiss42.tsp 1273 1517
swiss42.tsp 1273 1403
swiss42.tsp 1273 1390
swiss42.tsp 1273 1273
swiss42.tsp 1273 1415
swiss42.tsp 1273 1348
swiss42.tsp 1273 2619
p43.atsp 5620 5930
p43.atsp 5620 5632
p43.atsp 5620 5973
p43.atsp 5620 5943
p43.atsp 5620 5630
p43.atsp 5620 5637
p43.atsp 5620 5855
p43.atsp 5620 5634
p43.atsp 5620 5638
p43.atsp 5620 5912
p43.atsp 5620 5879
p43.atsp 5620 5677
p43.atsp 5620 5918
p43.atsp 5620 5832
p43.atsp 5620 5626
p43.atsp 5620 5890
p43.atsp 5620 6013
p43.atsp 5620 5916
p43.atsp 5620 5651
p43.atsp 5620 5630
p43.atsp 5620 5941
p43.atsp 5620 6110
p43.atsp 5620 5960
p43.atsp 5620 6104
p43.atsp 5620 5946
p43.atsp 5620 6114
p43.atsp 5620 6010
p43.atsp 5620 5938
p43.atsp 5620 5933
p43.atsp 5620 5785
p43.atsp 5620 5911
p43.atsp 5620 5646
p43.atsp 5620 5971
p43.atsp 5620 5911
p43.atsp 5620 5632
p43.atsp 5620 5968
p43.atsp 5620 11462
p43.atsp 5620 5956
p43.atsp 5620 5928
p43.atsp 5620 5633
p43.atsp 5620 5797
p43.atsp 5620 5630
p43.atsp 5620 6001
p43.atsp 5620 5655
p43.atsp 5620 5701
p43.atsp 5620 5945
p43.atsp 5620 5780
p43.atsp 5620 5908
p43.atsp 5620 5916
p43.atsp 5620 5904
ftv44.atsp 1613 3089
ftv44.atsp 1613 2802
ftv44.atsp 1613 2916
ftv44.atsp 1613 3046
ftv44.atsp 1613 3150
ftv44.atsp 1613 2734
ftv44.atsp 1613 2787
ftv44.atsp 1613 3616
ftv44.atsp 1613 2728
ftv44.atsp 1613 2876
ftv44.atsp 1613 2602
ftv44.atsp 1613 2869
ftv44.atsp 1613 2641
ftv44.atsp 1613 3144
ftv44.atsp 1613 3309
ftv44.atsp 1613 3701
ftv44.atsp 1613 4607
ftv44.atsp 1613 3085
ftv44.atsp 1613 2860
ftv44.atsp 1613 4131
ftv44.atsp 1613 2513
ftv44.atsp 1613 3055
ftv44.atsp 1613 2934
ftv44.atsp 1613 4464
ftv44.atsp 1613 2676
ftv44.atsp 1613 2723
ftv44.atsp 1613 2747
ftv44.atsp 1613 4200
ftv44.atsp 1613 2768
ftv44.atsp 1613 2677
ftv44.atsp 1613 3787
ftv44.atsp 1613 4386
ftv44.atsp 1613 2484
ftv44.atsp 1613 2773
ftv44.atsp 1613 2552
ftv44.atsp 1613 2744
ftv44.atsp 1613 2888
ftv44.atsp 1613 3710
ftv44.atsp 1613 3240
ftv44.atsp 1613 3120
ftv44.atsp 1613 3947
ftv44.atsp 1613 3012
ftv44.atsp 1613 2946
ftv44.atsp 1613 3982
ftv44.atsp 1613 2700
ftv44.atsp 1613 2930
ftv44.atsp 1613 2844
ftv44.atsp 1613 2482
ftv44.atsp 1613 2889
ftv44.atsp 1613 3186
ftv47.atsp 1776 3529
ftv47.atsp 1776 2994
ftv47.atsp 1776 3181
ftv47.atsp 1776 2805
ftv47.atsp 1776 3174
ftv47.atsp 1776 4009
ftv47.atsp 1776 3445
ftv47.atsp 1776 3102
ftv47.atsp 1776 4420
ftv47.atsp 1776 4340
ftv47.atsp 1776 3324
ftv47.atsp 1776 3469
ftv47.atsp 1776 3321
ftv47.atsp 1776 3414
ftv47.atsp 1776 3080
ftv47.atsp 1776 4671
ftv47.atsp 1776 3371
ftv47.atsp 1776 3343
ftv47.atsp 1776 2741
ftv47.atsp 1776 2908
ftv47.atsp 1776 4653
ftv47.atsp 1776 4317
ftv47.atsp 1776 3068
ftv47.atsp 1776 3954
ftv47.atsp 1776 3605
ftv47.atsp 1776 3615
ftv47.atsp 1776 3020
ftv47.atsp 1776 3584
ftv47.atsp 1776 4620
ftv47.atsp 1776 3611
ftv47.atsp 1776 3493
ftv47.atsp 1776 3344
ftv47.atsp 1776 3290
ftv47.atsp 1776 3335
ftv47.atsp 1776 5041
ftv47.atsp 1776 3554
ftv47.atsp 1776 3023
ftv47.atsp 1776 3259
ftv47.atsp 1776 3622
ftv47.atsp 1776 3350
ftv47.atsp 1776 4162
ftv47.atsp 1776 3158
ftv47.atsp 1776 4309
ftv47.atsp 1776 3266
ftv47.atsp 1776 3420
ftv47.atsp 1776 3241
ftv47.atsp 1776 3132
ftv47.atsp 1776 3305
ftv47.atsp 1776 3344
ftv47.atsp 1776 3392
att48.tsp 10628 11051
att48.tsp 10628 11522
att48.tsp 10628 11304
att48.tsp 10628 11723
att48.tsp 10628 11752
att48.tsp 10628 11101
att48.tsp 10628 11034
att48.tsp 10628 10859
att48.tsp 10628 11653
att48.tsp 10628 11257
att48.tsp 10628 11691
att48.tsp 10628 11302
att48.tsp 10628 11431
att48.tsp 10628 11102
att48.tsp 10628 11358
att48.tsp 10628 12017
att48.tsp 10628 11146
att48.tsp 10628 11610
att48.tsp 10628 11693
att48.tsp 10628 11275
att48.tsp 10628 11743
att48.tsp 10628 11184
att48.tsp 10628 12083
att48.tsp 10628 11976
att48.tsp 10628 11278
att48.tsp 10628 11696
att48.tsp 10628 11315
att48.tsp 10628 11223
